"Source:","G:\공유 드라이브\A-FA E-포뮬러 전기시스템\PCB\Shutdown\shutdown\shutdown.kicad_sch"
"Date:","2022-06-29 오후 7:49:52"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","21"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","D1","1N4002","Diode:1N4001","Library:1N4002","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","D2","1N4002","Diode:1N4001","Library:1N4002","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","D3","1N4002","Diode:1N4001","Library:1N4002","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","D4","1N4002","Diode:1N4001","Library:1N4002","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","J1","HV_AUX1","Connector:Conn_01x02_Female","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical","~"
"","","J2","HV_AUX2","Connector:Conn_01x02_Female","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical","~"
"","","J3","HV_AUX3","Connector:Conn_01x02_Female","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical","~"
"","","J4","BOTS","Connector:Conn_01x02_Female","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical","~"
"","","J5","LVMS","Connector:Conn_01x02_Female","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical","~"
"","","J6","Conn_01x06_Female","Connector:Conn_01x06_Female","Connector_Molex:Molex_SPOX_5267-06A_1x06_P2.50mm_Vertical","~"
"","","J7","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_Molex:Molex_SPOX_5267-04A_1x04_P2.50mm_Vertical","~"
"","","J8","Conn_01x06_Female","Connector:Conn_01x06_Female","Connector_Molex:Molex_SPOX_5267-06A_1x06_P2.50mm_Vertical","~"
"","","J9","HVMS","Connector:Conn_01x02_Female","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical","~"
"","","J10","Conn_01x06_Female","Connector:Conn_01x06_Female","Connector_Molex:Molex_SPOX_5267-06A_1x06_P2.50mm_Vertical","~"
"","","J11","Conn_01x02_Female","Connector:Conn_01x02_Female","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical","~"
"","","JP1","HVD_INTERLOCK","Device:Jumper","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical",""
"","","RELAY_AIR+_ACTIVE1","JQ1-12V-F","Relay:DIPxx-1Axx-12x","Relay_THT:Relay_StandexMeder_DIP_LowProfile","https://standexelectronics.com/wp-content/uploads/datasheet_reed_relay_DIP.pdf"
"","","RELAY_BMS1","ADJ14012","NewThing:ADJ14024","Library:ADJ14012",""
"","","RELAY_BSPD1","ADJ14012","NewThing:ADJ14024","Library:ADJ14012",""
"","","RELAY_HVD_INTERLOCK1","JQ1-12V-F","Relay:DIPxx-1Axx-12x","Relay_THT:Relay_StandexMeder_DIP_LowProfile","https://standexelectronics.com/wp-content/uploads/datasheet_reed_relay_DIP.pdf"
"","","RELAY_IMD1","ADJ14012","NewThing:ADJ14024","Library:ADJ14012",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","4","D1, D2, D3, D4","1N4002","Diode:1N4001","Library:1N4002","http://www.vishay.com/docs/88503/1n4001.pdf"
"2","1","J1","HV_AUX1","Connector:Conn_01x02_Female","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical","~"
"3","1","J2","HV_AUX2","Connector:Conn_01x02_Female","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical","~"
"4","1","J3","HV_AUX3","Connector:Conn_01x02_Female","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical","~"
"5","1","J4","BOTS","Connector:Conn_01x02_Female","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical","~"
"6","1","J5","LVMS","Connector:Conn_01x02_Female","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical","~"
"7","3","J6, J8, J10","Conn_01x06_Female","Connector:Conn_01x06_Female","Connector_Molex:Molex_SPOX_5267-06A_1x06_P2.50mm_Vertical","~"
"8","1","J7","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_Molex:Molex_SPOX_5267-04A_1x04_P2.50mm_Vertical","~"
"9","1","J9","HVMS","Connector:Conn_01x02_Female","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical","~"
"10","1","J11","Conn_01x02_Female","Connector:Conn_01x02_Female","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical","~"
"11","1","JP1","HVD_INTERLOCK","Device:Jumper","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical",""
"12","2","RELAY_AIR+_ACTIVE1, RELAY_HVD_INTERLOCK1","JQ1-12V-F","Relay:DIPxx-1Axx-12x","Relay_THT:Relay_StandexMeder_DIP_LowProfile","https://standexelectronics.com/wp-content/uploads/datasheet_reed_relay_DIP.pdf"
"13","3","RELAY_BMS1, RELAY_BSPD1, RELAY_IMD1","ADJ14012","NewThing:ADJ14024","Library:ADJ14012",""
